,index,participantID,bluetoothCount.daily,bluetoothUniqueDevice.daily,bluetoothMostUniqueScan.daily,batteryDischargeCount.daily,batteryChargeCount.daily,batteryDischargeCount.morning,batteryDischargeCount.evening,batteryChargeCount.evening,batteryDischargeCount.night,batteryChargeCount.night,screenUnlockCount.daily,screenUnlockRatio.daily,screenUnlockDuration.mean.daily,screenUnlockDuration.std.daily,screenUnlockCount.morning,screenUnlockRatio.morning,screenUnlockDuration.mean.morning,screenUnlockDuration.std.morning,screenUnlockCount.evening,screenUnlockRatio.evening,screenUnlockDuration.mean.evening,screenUnlockDuration.std.evening,wifiCount.daily,wifiUniqueDevice.daily,wifiMostUniqueScan.daily,wifiCount.morning,wifiUniqueDevice.morning,wifiMostUniqueScan.morning,wifiCount.evening,wifiUniqueDevice.evening,wifiMostUniqueScan.evening,wifiCount.night,wifiUniqueDevice.night,neoConscientiousness,neoNeuroticism,neoExtraversion,neoAgreeableness,neoOpenness,NegativeAffectivity,Detachment,Antagonism,Disinhibition,Psychoticism
30,12.0,224,10.0,1.0,10.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,22.0,0.028387097000000003,6.684303787999999,16.00233939,4.0,0.023529412000000003,21.00552917,36.77535102,5.0,0.025641026,2.923543333,2.608088336,580.0,2.0,492.0,95.0,2.0,56.0,126.0,1.0,126.0,298.2857142857143,1.6428571428571428,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
31,13.0,224,34.0,9.0,5.0,4.0,6.0,2.0,1.0,3.0,1.0,0.0,50.0,0.043859649,3.059712667,3.3759629380000002,17.0,0.047222222,3.327369608,3.3266764760000003,18.0,0.05,3.535986111,3.9475013999999997,1094.0,6.0,488.0,360.0,5.0,243.5,360.0,1.0,360.0,56.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
32,14.0,224,17.0,5.0,12.0,2.0,2.0,1.0,1.0,1.0,0.5833333333333334,0.6666666666666666,27.0,0.021011672999999998,2.829362963,6.617844262,14.0,0.04,3.751820238,9.075902013,4.0,0.017021276999999998,1.672820833,2.003354318,1105.0,7.0,638.0,317.0,5.0,121.0,185.0,2.0,161.0,318.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
33,15.0,224,32.0,4.0,29.0,2.0,2.0,2.0,1.4,1.1333333333333333,1.0,0.0,13.0,0.017333333,4.479417949,6.06279212,8.0,0.022222222000000003,3.03945625,3.8685886110000003,13.0,0.03851454306666667,3.1364631491333337,3.8132093143333337,746.0,5.0,345.0,359.0,4.0,243.5,279.3333333333333,1.5333333333333334,244.0,361.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
34,0.0,224,45.0,9.0,17.0,2.0,3.0,1.2352941176470589,2.0,3.0,0.8125,0.6875,31.0,0.087323944,3.0987634410000005,7.125355795,6.9411764705882355,0.022366589764705885,14.116991706117647,19.67286643952941,31.0,0.087323944,3.0987634410000005,7.125355795,349.0,11.0,39.0,250.1764705882353,5.411764705882353,123.0,349.0,11.0,39.0,331.6666666666667,1.5833333333333333,3.25,0.666666667,2.25,3.5,2.583333333,0.21587301600000003,1.428571429,0.08869047599999999,1.053571429,0.222222222
35,1.0,224,105.0,10.0,21.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,24.0,0.017582418,10.74959097,16.90698082,3.0,0.009677419,4.1600555560000005,4.755751053,12.0,0.033333333,4.655998611,4.729110133,1095.0,12.0,214.0,157.0,1.0,123.0,348.0,7.0,8.0,360.0,2.0,3.25,0.666666667,2.25,3.5,2.583333333,0.21587301600000003,1.428571429,0.08869047599999999,1.053571429,0.222222222
36,2.0,224,109.0,15.0,29.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,20.0,0.014440433,12.23279667,17.62833694,3.0,0.008450704,33.35934444,38.16453233,7.0,0.020588235,5.371230952,5.783635453,1171.0,12.0,919.0,325.0,1.0,325.0,231.0,7.0,118.0,360.0,3.0,3.25,0.666666667,2.25,3.5,2.583333333,0.21587301600000003,1.428571429,0.08869047599999999,1.053571429,0.222222222
37,3.0,224,91.0,23.0,14.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,43.0,0.042156862999999996,11.70664961,21.274912399999998,12.0,0.04,9.844390277999999,17.2560605,11.0,0.030555556,17.705630300000003,33.05757433,914.0,14.0,154.0,281.0,12.0,15.0,273.0,2.0,124.0,331.6666666666667,1.5833333333333333,3.25,0.666666667,2.25,3.5,2.583333333,0.21587301600000003,1.428571429,0.08869047599999999,1.053571429,0.222222222
38,4.0,224,153.0,34.0,37.0,3.0,4.0,1.0,2.0,3.0,0.0,1.0,41.0,0.028472222000000002,11.51235854,17.44507808,10.0,0.027777778,11.08377,16.15355173,10.0,0.027777778,24.93343667,26.41354744,1388.0,25.0,644.0,322.0,18.0,75.0,346.0,7.0,185.0,360.0,1.0,3.25,0.666666667,2.25,3.5,2.583333333,0.21587301600000003,1.428571429,0.08869047599999999,1.053571429,0.222222222
39,5.0,224,81.0,26.0,22.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,30.0,0.021201413,10.88998333,17.83752868,7.0,0.019444443999999998,11.6827,14.78823674,7.0,0.020895522,19.69211905,26.39236213,1305.0,15.0,631.0,318.0,3.0,69.0,268.0,4.0,189.0,360.0,1.0,3.25,0.666666667,2.25,3.5,2.583333333,0.21587301600000003,1.428571429,0.08869047599999999,1.053571429,0.222222222
